SID-00001740-n: SID-00001740-N
SID-00002645-n: SID-00003553-N
SID-00003226-n: SID-00004475-N
SID-00004609-n: SID-00006269-N
SID-00004824-n: SID-00006484-N
SID-00006026-n: SID-00007846-N
SID-00007638-v: SID-00007739-V
SID-00008853-v: SID-00009140-V
SID-00009760-v: SID-00010047-V
SID-00009947-v: SID-00010234-V
SID-00010141-v: SID-00010428-V
SID-00011955-v: SID-00012260-V
SID-00012301-v: SID-00012606-V
SID-00012748-n: SID-00015568-N
SID-00013721-v: SID-00014027-V
SID-00013888-v: SID-00014194-V
SID-00014092-v: SID-00014398-V
SID-00014236-v: SID-00014542-V
SID-00014429-v: SID-00014735-V
SID-00014510-n: SID-00017402-N
SID-00016236-n: SID-00002684-N
SID-00017087-n: SID-00019308-N
SID-00018221-v: SID-00018519-V
SID-00018827-n: SID-00021445-N
SID-00019244-n: SID-00022119-N
SID-00020136-n: SID-00023083-N
SID-00020333-n: SID-00023280-N
SID-00020729-n: SID-00023451-N
SID-00021213-n: SID-00023953-N
SID-00022265-v: SID-00022679-V
SID-00022625-n: SID-00027365-N
SID-00023103-n: SID-00028005-N
SID-00024568-n: SID-00024900-N
SID-00025848-v: SID-00026378-V
SID-00025950-n: SID-00029677-N
SID-00026194-n: SID-00030657-N
SID-00026695-v: SID-00027261-V
SID-00026769-n: SID-00031563-N
SID-00027371-n: SID-00032912-N
SID-00027563-n: SID-00024444-N
SID-00027929-n: SID-00032220-N
SID-00028549-n: SID-00033122-N
SID-00028764-n: SID-00033319-N
SID-00029881-n: SID-00034512-N
SID-00030147-n: SID-00034778-N
SID-00030242-n: SID-00035041-N
SID-00030589-n: SID-00035910-N
SID-00030639-v: SID-00031813-V
SID-00031905-n: SID-00037483-N
SID-00032382-v: SID-00033592-V
SID-00032816-n: SID-00038116-N
SID-00033574-n: SID-00039000-N
SID-00034333-n: SID-00039759-N
SID-00034523-v: SID-00035769-V
SID-00034591-n: SID-00040035-N
SID-00035127-v: SID-00036355-V
SID-00036630-n: SID-00042206-N
SID-00037061-n: SID-00042637-N
SID-00037473-n: SID-00043049-N
SID-00037919-n: SID-00043495-N
SID-00038353-n: SID-00043933-N
SID-00038749-n: SID-00044347-N
SID-00039042-n: SID-00044640-N
SID-00039108-v: SID-00040084-V
SID-00039290-n: SID-00044888-N
SID-00039683-v: SID-00040659-V
SID-00040371-n: SID-00045991-N
SID-00041028-n: SID-00046648-N
SID-00041298-n: SID-00046918-N
SID-00041454-n: SID-00047085-N
SID-00041632-n: SID-00047263-N
SID-00043335-n: SID-00048966-N
SID-00043484-n: SID-00049115-N
SID-00043938-n: SID-00049569-N
SID-00044113-n: SID-00049744-N
SID-00044299-v: SID-00045548-V
SID-00044633-v: SID-00045868-V
SID-00045016-v: SID-00046251-V
SID-00045146-n: SID-00050857-N
SID-00045799-v: SID-00047034-V
SID-00046282-n: SID-00052012-N
SID-00048177-n: SID-00053917-N
SID-00048895-v: SID-00050369-V
SID-00050755-v: SID-00052265-V
SID-00050879-n: SID-00056907-N
SID-00051366-v: SID-00052876-V
SID-00053313-n: SID-00059339-N
SID-00053537-n: SID-00059563-N
SID-00055053-v: SID-00056644-V
SID-00055949-n: SID-00062110-N
SID-00057447-n: SID-00063626-N
SID-00057655-n: SID-00063834-N
SID-00058293-n: SID-00064472-N
SID-00058807-v: SID-00060604-V
SID-00059106-n: SID-00065324-N
SID-00059569-v: SID-00061366-V
SID-00060780-n: SID-00067036-N
SID-00061200-n: SID-00067456-N
SID-00061264-v: SID-00063062-V
SID-00062014-v: SID-00063866-V
SID-00062029-n: SID-00068346-N
SID-00062171-n: SID-00068527-N
SID-00062508-v: SID-00064414-V
SID-00062736-v: SID-00064660-V
SID-00062917-v: SID-00064841-V
SID-00063217-v: SID-00065141-V
SID-00063342-v: SID-00065266-V
SID-00063486-v: SID-00065410-V
SID-00063854-v: SID-00065796-V
SID-00064020-v: SID-00065962-V
SID-00064806-v: SID-00066748-V
SID-00065349-n: SID-00071785-N
SID-00066405-n: SID-00073081-N
SID-00067690-v: SID-00069650-V
SID-00068407-n: SID-00075344-N
SID-00068673-n: SID-00075610-N
