SID-00001740-N: SID-00001740-N
SID-00003553-N: SID-00003553-N
SID-00004475-N: SID-00004475-N
SID-00006269-N: SID-00006269-N
SID-00006484-N: SID-00006484-N
SID-00007846-N: SID-00007846-N
SID-00007739-V: SID-00007739-V
SID-00009140-V: SID-00009147-V
SID-00010047-V: SID-00010054-V
SID-00010234-V: SID-00010241-V
SID-00010428-V: SID-00010435-V
SID-00012260-V: SID-00012267-V
SID-00012606-V: SID-00012613-V
SID-00015568-N: SID-00015388-N
SID-00014027-V: SID-00014034-V
SID-00014194-V: SID-00014201-V
SID-00014398-V: SID-00014405-V
SID-00014542-V: SID-00014549-V
SID-00014735-V: SID-00014742-V
SID-00017402-N: SID-00017222-N
SID-00002684-N: SID-00002684-N
SID-00019308-N: SID-00019128-N
SID-00018519-V: SID-00018526-V
SID-00021445-N: SID-00021265-N
SID-00022119-N: SID-00021939-N
SID-00023083-N: SID-00022903-N
SID-00023280-N: SID-00023100-N
SID-00023451-N: SID-00023271-N
SID-00023953-N: SID-00023773-N
SID-00022679-V: SID-00022686-V
SID-00027365-N: SID-00027167-N
SID-00028005-N: SID-00027807-N
SID-00024900-N: SID-00024720-N
SID-00026378-V: SID-00026385-V
SID-00029677-N: SID-00029378-N
SID-00030657-N: SID-00030358-N
SID-00027261-V: SID-00027268-V
SID-00031563-N: SID-00031264-N
SID-00032912-N: SID-00032613-N
SID-00024444-N: SID-00024264-N
SID-00032220-N: SID-00031921-N
SID-00033122-N: SID-00032823-N
SID-00033319-N: SID-00033020-N
SID-00034512-N: SID-00034213-N
SID-00034778-N: SID-00034479-N
SID-00035041-N: SID-00034574-N
SID-00035910-N: SID-00035189-N
SID-00031813-V: SID-00031820-V
SID-00037483-N: SID-00036762-N
SID-00033592-V: SID-00033599-V
SID-00038116-N: SID-00037396-N
SID-00039000-N: SID-00038262-N
SID-00039759-N: SID-00039021-N
SID-00035769-V: SID-00035758-V
SID-00040035-N: SID-00039297-N
SID-00036355-V: SID-00036362-V
SID-00042206-N: SID-00041468-N
SID-00042637-N: SID-00041899-N
SID-00043049-N: SID-00042311-N
SID-00043495-N: SID-00042757-N
SID-00043933-N: SID-00043195-N
SID-00044347-N: SID-00043609-N
SID-00044640-N: SID-00043902-N
SID-00040084-V: SID-00040353-V
SID-00044888-N: SID-00044150-N
SID-00040659-V: SID-00040928-V
SID-00045991-N: SID-00045250-N
SID-00046648-N: SID-00045907-N
SID-00046918-N: SID-00046177-N
SID-00047085-N: SID-00046344-N
SID-00047263-N: SID-00046522-N
SID-00048966-N: SID-00048225-N
SID-00049115-N: SID-00048374-N
SID-00049569-N: SID-00048828-N
SID-00049744-N: SID-00049003-N
SID-00045548-V: SID-00045817-V
SID-00045868-V: SID-00046151-V
SID-00046251-V: SID-00046534-V
SID-00050857-N: SID-00050037-N
SID-00047034-V: SID-00047317-V
SID-00052012-N: SID-00051192-N
SID-00053917-N: SID-00053097-N
SID-00050369-V: SID-00050652-V
SID-00052265-V: SID-00052548-V
SID-00056907-N: SID-00056087-N
SID-00052876-V: SID-00053159-V
SID-00059339-N: SID-00058519-N
SID-00059563-N: SID-00058743-N
SID-00056644-V: SID-00056930-V
SID-00062110-N: SID-00061290-N
